statement,label
এমন কষ্টের নাটক ঈদের সময় দেয় কেমনে মানে খুশি। নাটক দেখে কষ্ট পেলাম।,vulnerable
প্রশ্নের উত্তর তাদের কাছেই পাবেন যারা ডিপ্রেশনে আছে,vulnerable
বয়স হবার পরেও তোর স্বভাব গুলা এখনো মাসের বাচ্চার তুই কোনোদিন বড় হবিনা জ্বালাবি বাণীতে,vulnerable
কোতোয়ালী থানা শিবিরের সভাপতি ফাহাদের উপর পুলিশের পায়ে বন্দুক ঠেকিয়ে গুলি করে পঙ্গু করে ফেলার এহেন ন্যাক্কারজনক হামলার নিন্দা জানানোর ভাষা নেই । ,vulnerable
সরকার করের এগুলো মাথায় ডুকতেছে,vulnerable
অধিকাংশ সময় আমার জীবনে অনেক বিপদে পড়ে থাকে আমি অধিকাংশ সময় আমার মনের দুঃখে মুখ ফোটা দেখি।,vulnerable
বিবর্ণ হয়ে পরে থাকা মৃতদেহ খানিও লাশ নামের,vulnerable
জীবনের অবাক পরিণতির মধ্যে আমি নিজের পথের অভাবে হারিয়ে গেছি।,vulnerable
"মাঝেমাঝে আফসোস করি , যদি আরেকটু কোমল স্বভাবের হতে পারতাম ! তারপর একটু হাসি । তারপর দিনের কাজ শুরু করি বাবু",vulnerable
মানব তোমার কাফনের কাপড় বাজারে এসে গেছে তুমি এখনো বেখেয়াল,vulnerable
কোতোয়ালী থানা শিবিরের সভাপতি ফাহাদের উপর পুলিশের পায়ে বন্দুক ঠেকিয়ে গুলি করে পঙ্গু করে ফেলার এহেন ন্যাক্কারজনক হামলার নিন্দা জানানোর ভাষা নেই । ,vulnerable
আপু আমি সৌদি প্রবাসী আমি রোগের রোগী,vulnerable
মাস থেকে ডিপ্রেশনে ভুগছিআল্লাহ আপনি আমাদের ডিপ্রেশন থেকে মুক্তি দাও আমিন,vulnerable
বাংলাদেশে সবকিছুর অভাব হতে পারে যেমন খাদ্য বস্ত্র শিক্ষা চিকিৎসা কিন্তু পাগলের অভাব কোনদিন হবে,vulnerable
নাটকটা ইয়াশ তটিনীর সবচেয়ে সুন্দর একটা নাটক ছিলো এটার ভালো মুহুর্তগুলো সবাইকে হাঁসিয়েছে কষ্টের মুহুর্তগুলো সবাইকে কাঁদিয়েছে,vulnerable
বেপার সত্যিই অনেক দুঃখ জনক,vulnerable
মাদারে গণতন্ত্র বকে দিয়েছেন যেন ফাঁসির থেকেও নির্মম শাস্তি,vulnerable
সিধ কাটিয়া তোমার ঘরে করতে গেলাম চুরি আসতে গিয়া অন্ধকারে আটকে গিয়াছে ভূড়ি,vulnerable
"আমি নির্লজ্জ বেহায়া , গাঞ্জাখোর মানুষ দেখিনি , দেখেছি বলদ নামের হাসান মাহমুদকে । নিকৃষ্ট পথভ্রষ্ট্র লেখিকা তাসলিমা নাসরিন যেমন কখনও সন্তান প্রসব করতে পারবে না , হাসান মাহমুদও কখনো মিথ্যা গাজাঁখোরী ছাড়তে পারবে না ",vulnerable
আমি হয়তো তার মধ্যে একজন আমার বুকের ডান পাশ কম্পন পাশ ফিরে শুইলে অনেক অসস্থি লাগে আল্লাহ ভাল জানেন,vulnerable
ভদ্রলোক নিকোটিন ছাড়ার আশায় নিকোটিন গাম খাওয়া শুরু করলেন । কিন্তু এখন তিনি নিকোটিন গামে আসক্ত হয়ে পড়েছেন । নিকোটিন গাম ছাড়ার জন্য কি করতে হবে সে চিন্তায় তিনি আবার সিগারেট ধরলেন । নিকোটিন চক্রের শেষ নেই । হারকিউলিস,vulnerable
"নীল পদ্ম খুজতে খুজতে আজ নিজেই , শৈবাল হয়ে গেছি অন্যের জন্য সুখ খুজে ফিরি , হঠাৎ দেখি পেছন ফিরে শুধুই মরুভূমি ঐ ত নীল আকাশের তারা জ্বলছি একা আজ তোমায় ছাড়া বাবু",vulnerable
কারো প্রতি সিরিয়াস হওয়া মানে নিজেকে ডাস্টবিনে পরিণত করা যেখানে লেখা থাকে আমাকে ব্যবহার করুন আজব দুনিয়া,vulnerable
চোখের ধরে রাখতে পারলাম,vulnerable
আমি সময় বোধহয় আমি নিজেকে নিজের অংশ হিসেবে ধরে রাখতে পারি না।হতাশা দুচিন্তা বেকারত্বের প্রধান কারণ।,vulnerable
জীবনের অনেক সময় অজানা পথে চলার অনুভূতি অনেক বেশি কষ্টদায়ক,vulnerable
বালিকা তুমি যতটা দুঃখ কষ্ট পেলে কাঁদো আমি তার চেয়েও বেশি দুঃখ কষ্ট বেদনার আঘাত নিয়া হাসি,vulnerable
আমি সর্বদা খুব বিরক্ত। কোন কারণে আমি সময় নিরুদ্দিপ্ত মনে হয়।হতাশা দুচিন্তা বেকারত্বের প্রধান কারণ।,vulnerable
এটা অত্যন্ত দুঃখজনক এতবার কেন কঠোর ব্যবস্থা নেওয়া হয়,vulnerable
আমি মডানা দুই টিকা নিয়ে দুই বসর অসুস্থ ছিলাম এখনো আমার নানা ধরনের সমস্যা আমি এখন করবো জানা থাকলে বলবেন,vulnerable
টিকা নেওয়ার আগে অনেক ভালো ছিলাম এখন ভালো একটা শরিরে শক্তি পাচ্ছিনা।,vulnerable
ডিপ্রেশন মানুষকে মৃত্যুর মুখোমুখি দাড় করিয়ে দেয় নিজের মুখের হাসি জিনিস সেটা ভুলে গেছি অনেক আগেই এখন শুধু অপেক্ষা ওপারের ডাক আসার,vulnerable
শিক্ষা শেষ।এ শিক্ষা দিয়ে খুব বেশি হলে সৌদি আরবে গিয়ে লেবার হওয়া যাবে।ধন্যবাদ তথা কথিত শিক্ষা পন্ডিত গরু মশাই।,vulnerable
সবাই ডিশের লাইন কেটে দিয়ে বিটিভি দেখুন । এ বছর বাতাবিলেবুর ফলন অনেক ভাল হয়েছে । আয়নাবাজি,vulnerable
এটা সত্য আসলে আমরা খেয়ে যদি বাসতে পারি তাহলে উন্নয়ন দিয়ে করব,vulnerable
আমি আমার নিজের মাঝে আত্মহত্যা করতে চাই কিন্তু আমি অসমর্থ।,vulnerable
প্রতিবেদন দেখেই ডিপ্রেশনে চলে গেলাম,vulnerable
আমি কোনো কিছুতেই আনন্দ পাই,vulnerable
আমি ডিপ্রেশন কোম্পানির প্রধানমন্ত্রী পারতেছিনা কষ্ট কবে জানি হঠাৎ সবার চোখ ফাঁকি দিয়ে সুইসাইড করে দুনিয়াকে বিদায় দেই,vulnerable
কক্সবাজার পৌরসভা নং ওয়ার্ডে ভোটার হাজার নৌকা একা পেয়েছে হাজার,vulnerable
"যে দেশে মানুষের মৃত্যুর খবর শুনে মন্ত্রী মহোদয় হাসে , প্রতিদিন মৃত্যু ভয় নিয়ে বাইরে বের হতে হয় যেখানে প্রিয়জনের ঘরে ফেরার নিশ্চয়তা নেই , যেখানে রাস্তায় মা বোনদের নিরাপত্তা নেই , সেই দেশ আমার না । হয়তো দেশটা একদিন আমার ছিল । এখন আর নেই । এই দেশে আমি অসহায় ! সড়কদুর্ঘটনা",vulnerable
আমি সবসময় ক্ষতিগ্রস্ত মনে হচ্ছে। আমার কাছে দুঃখের ব্যবস্থা করার জন্য কোনো নেই।অনেক দিন ধরে আমি অশান্তির মধ্যে ভুগছি।,vulnerable
আমি সর্বদা খুব বিরক্ত। কোন কারণে আমি সময় নিরুদ্দিপ্ত মনে হয়।হতাশা দুচিন্তা বেকারত্বের প্রধান কারণ।,vulnerable
রাজশাহীতে ভোটকেন্দ্রে আ লীগ সমর্থককে ছুরিকাঘাত : ,vulnerable
"এক লোককে বিকালে দেখছি ভালো । পরেরদিন সকালে দেখি তার চোখ , নাক এমন ফুলছে আমি তো মনে করছিলাম তার মুখটা ফুটবল । জিঙ্গাসা করলাম ভাই কি হইছে ? তার উত্তর চুদির পু গতকাল জঙ্গলে লাড়া দিছস আর বল্লা মৌমাছি আমারে জম্মের মতো কামড়াইছে । লে হালুয়া",vulnerable
জীবনের পথে অসহায় ভ্রমণ এখনো থামে নি।আর কষ্ট দিবিরে তোরা বাঙালি,vulnerable
তাদের বুঝা উচিৎ দেশের মানুষ এখন হলে গিয়ে সিনেমা দেখতে ইচ্ছুক নাতাদের এখন পেশা পরিবর্তন করা উচিৎ।,vulnerable
জীবন অত্যন্ত নিস্তার এবং অসুখের একটি ব্যাপার। আমি কেউ হতে চাইতেও বাধ্য হইতেছি মনে হচ্ছে।,vulnerable
ভুড়ি ভোজ করতেছে আর বাম হাত দিয়ে পানি খাইতেছে এই ভন্ডকে চিনতে পারছেন এই শয়তান ইসলামী ফাউন্ডেশনের চেয়ারম্যান শামীম আফজাল মূর্খ ভন্ড এই শয়তান পাবলিক টয়লেট পরিচালক হওয়ার যোগ্য নয় অথচ তাকে ইসলামী ফাউন্ডেশনের মহাপরিচালক বানানো হলো ,vulnerable
তবে এটা সত্য অসুস্থ মানুষ হসপিটালে গেলে আরো অসুস্থ হয়ে পড়ে।,vulnerable
কোন মুসলিম কখনো কাউকে আগে মারধর করে না,vulnerable
"চোখ দিয়ে ধর্ষন করাকে , এখনকার আপডেটেড ছেলে মেয়েরা নাম দিয়েছে ক্রাশ । ",vulnerable
চোখ দিয়ে ধর্ষন করাকে এখনকার আপডেটেড ছেলে মেয়েরা নাম দিয়েছে ক্রাশ,vulnerable
মনের অদৃশ্য ব্যাঘাত আমার চেষ্টা করে আমাকে হতাশা করে দেয়।,vulnerable
হলে বাঙালী বিদ্বেষী হতে হবে বেছে বেছে মণিপুর আসামে বাঙালী দের তাড়ানো হচ্ছে তাতে আপনার কোন প্রতিক্রিয়া নেই,vulnerable
অনেক কষ্ট পেলাম কাঁদলাম যাইহোক খুব ভালো লাগলো,vulnerable
"অষ্টম শ্রেণীর ছাত্রীর বিয়ে আটকাতে রুখে দাঁড়াল তার বান্ধবীরা । শাব্বাসএটা বাল্যবিবাহ ছিলো কিন্তু পরের দিনই মেয়েটি অন্য ছেলের সাথে পালিয়ে গেল সমস্যা নাই , এটা আধুনিকতা বলে চালিয়ে দেয়া যায়",vulnerable
মনের অদৃশ্য ব্যাঘাত আমার চেষ্টা করে আমাকে হতাশা করে দেয়।আমার জীবনে অন্ধকার বিরক্তি অস্বস্তি,vulnerable
চলে যাওয়া বিষয়।। অন্য কারও হাত ধরে চলে যাওয়া ভিন্ন বিষয়। তাও কেন জানি মনে হয়।।তুমি এতটাও খুশি নওতাও কেন চলে গেলা,vulnerable
আমার মনে হয় আমি শেষ পর্যন্ত একা অনুভব করবো।অনেক দিন ধরে আমি অশান্তির মধ্যে ভুগছি।,vulnerable
তাদের পয়সা আছে কিন্তু পারিবারিক শিক্ষা নাই,vulnerable
মাঝে মাঝে ইচ্ছে করে ছেড়ে দূরে কোথাও চলে যাই কিন্তু গাড়ি ভাড়া নেই বলে যেথে পারিনাএত সার্টিফিকেট দিয়ে আমি করবো মনে চায় মরে যাই,vulnerable
সময় চলে গেছে এবং চলছে চলতি জীবনের গল্প বলছে পাল্টে গেলি তুই আমিও পাল্টে গিয়েছি মাঝ পথে হাতে হাতে বন্ধু কি খবর বল কত দিন দেখ হয়নি ,vulnerable
দ্রুত সবাইকে ফাঁসি দেওয়া হোক,vulnerable
মানুষের প্রতি মানুষেত দরদ দিন দিন কমলেও কুত্তা বিলাই প্রতি মানুষের দরদ দিন দিন বাড়তেছে সার্টিফিকেট দিয়ে আমি করবো মনে চায় মরে যাই,vulnerable
তাইলে উনি এবার উনার অভিনীত ইতিহাস মুভির সেই বিখ্যাত গানের লাইন আমি জীবন্ত একটা লাশ এটাই নতুন ইতিহাস গাইবে,vulnerable
যখন আমি সময়ের সাথে স্বপ্ন হারাতে চাই তখন আমি সমস্যা হারিয়ে যায়,vulnerable
লেখাটি পড়ে মনে হচ্ছে জীবনের অত্যন্ত বিচিত্র খেলার কারণে মনে হচ্ছে দুঃখ আসতেই হবে। কান্না সারা দেশের,vulnerable
শহর ছাইড়া দিয়া গ্রামে গিয়ে চাষ করেন তাহলে দাম কমে যাবে,vulnerable
ভারতের আসাম থেকে লাখ অবৈধ বিদেশি এখন কোথায় যাবে কান্না সারা দেশের অস্বস্তি,vulnerable
আমি সময় অনুমান করি আমি অত্যন্ত অল্পমাত্রে জানি এবং আমি কোন কারণে কাউকে আমার কাছে বুঝতে পারছি না।হতাশা দুচিন্তা বেকারত্বের প্রধান কারণ।,vulnerable
নিজেকে ভালবাসুন নিজেকে সময় দিন।মাথায় রাখুনসবার আগে নিজেকেই নিজের প্রথম প্রয়োজন। দিনশেষে আপনি আপনারতাই নিজেকে নিয়ে সবচেয়ে বেশি ভাবুন।,vulnerable
আমার চেয়ে বেশি ভালোবাসা হারিয়ে যাওয়া কোনোটাই একে অন্যের ভালোবাসার অনুভূতি দেয় না।,vulnerable
মাঝে মাঝে দেখা পাই চিরদিন কেন পাইনা যেন একটা অপূর্ণতা রয়ে গেলে।,vulnerable
মুহূর্তটা খুব সুন্দর ছিলো গানটার সাথে তাদের কষ্টদায়ক মুহূর্ত গুলো মিলে যাচ্ছিলো,vulnerable
দাম বাড়ে বাজারে। কিন্তু কৃষকরা কিন্তু লাপ পায় না। কৃষকরা চাষ করে নিজেরা চলতে পারে,vulnerable
আমরা আনন্দ চেষ্টা করি বিপর্যয়ের সাথে অসংখ্য প্রতিযোগিতা করে নিয়ে আসি।আর কষ্ট দিবিরে তোরা বাঙালি,vulnerable
আমার মতো কেও আছো গান পতি রাত শুনতে,vulnerable
আমাদের জীবনে অসম্ভব দুঃখ আমাদের অগ্রদিকে নিয়ে যাচ্ছে যেখানে আমরা শুধু আনন্দ খুঁজে বের করতে চাই।,vulnerable
আগে আমাদের বাঁচতে দিন পরে উন্নয়ন করুন,vulnerable
ডিপ্রেশন অনেক আনন্দের রোগ আমি ভুক্তভোগী। মাঝে মাঝে ইচ্ছা করে সুন্দর পৃথিবী মায়ার বাধন ছেরে দূরে কোথাও হারিয়ে যাই।,vulnerable
বাসের তলায় পিষছে মানুষ হাসছে নরপিশাচ তিন তিনটা লাশ পরেছে কির পোলা লাশ চাস,vulnerable
বিজেপি অক্সিজেন দিচ্ছেন অধীর শুভেন্দু অধিকারী,vulnerable
এতো দিন শুধু রোহিঙ্গারা ছিল এইবার আসাম থেকেও কয়েক লক্ষ চলে আসে কিনা সেটা সময়ই বলে দিবে,vulnerable
এগুলা প্রশাসন দেখবে জোর যার ক্ষমতা তার,vulnerable
বাসের তলায় পিষছে মানুষ হাসছে নরপিশাচ তিন তিনটা লাশ পরেছে কির পোলা লাশ চাস,vulnerable
"বাড়ির ফ্রীজটা আধভাঙা হয়ে পড়ে আছে । নতুন ফ্রীজের খোঁজখবর করতে গিয়ে দেখি স্যামসাং একটা পেল্লায় ফ্রীজ বের করেছে যার গায়ে জলের কলও আছে আবার এলইডি টিভিও আছে । এই , আড়াই লাখ মত দাম । মোটের ওপর যে পছন্দ হয়নি তা নয় ; তবে কিনা ফ্রীজবাবাজী লুচি বেলতে পারেনা । তাই ক্যান্সেল করলাম । ",vulnerable
মধ্য আয়ের দেশে উন্নীত হয়ে বাংলাদেশ এখন ভাঙ্গাদেশে রুপান্তরিত হয়েছে ফ্যাক্ট দেড় ঘন্টার রাস্তার অর্ধেক আসতে লাগে সাড়ে তিন ঘন্টা,vulnerable
এমন কষ্টের নাটক ঈদের সময় দেয় কেমনে মানে খুশি। নাটক দেখে কষ্ট পেলাম।,vulnerable
টিভি এতো নিম্ম মানের নিউজ করবে আশা করি নাই।,vulnerable
আমার হারানো স্বপ্নগুলি কতই আমাকে কষ্ট দেয় এখন তারা শুধু মনে পড়ে যেতে দেয়,vulnerable
আমার যারা উচ্চ শিক্ষিত তারা বেশির ভাগই ইসলামিক আইন মানতে চায় যার কারণে বিবাহবিচ্ছেদ। নিয়ে রির্সাজ করার জন্য স্যার দুজনকে অসংখ্য ধন্যবাদ।,vulnerable
তালাক এখন অনেক মুসলিম নারীর কাছে এককালীন টাকা উপার্জনের সেরা উপায় । যার কারনে ৭৫ তালাক হয় নারী কর্তৃক । ,vulnerable
মেয়ে মানুষ মেনে নিতে পারে কিন্তু তার প্রতি প্রিয় মানুষের অবহেলা মেনে নিতে পারে কথাটার অর্থ অনেক গভীর যদি আমি সময় থাকতে বুঝতে পারতাম তাহলে এমনটা হতো,vulnerable
আমার জীবনে অনেক সময় সমস্যা হারানোর মুখে মুখে আমি একা আমার বিপদে পড়ে থাকি।,vulnerable
আমি ফাইজার নিয়ে আমার হাত ব্যেথা করতে আছে কোন সময় আমার ব্যেথা ছিল,vulnerable
এখন সবকিছু উল্টাপাল্টা এমনটা হওয়াটাই স্বাভাবিক,vulnerable
আলহামদুলিল্লাহ।।।ধংস্য সকল নিরমাতা।।,vulnerable
নাটকটি দেখে যতি চোখের কনে পানি চলে আসে বুঝতে হবে আপনি নাটকটি দিয়ে দেখেন নাই,vulnerable
"সত্যিই হাবুলের সময় তা খুব খারাপ যাচ্ছে । মেদিনীপুরে দিলু গোয়ালার সঙ্গে ঝামেলা , নিজের কেন্দ্রে মিটিংয়ে ডাক না পাওয়া , আবার এটা । গোদের উপর বিষফোঁড়া । ",vulnerable
একমাত্র কারিগরি শিক্ষার অভাবের কারণে এমন পরিস্থিতি তৈরি হয়েছে।,vulnerable
বালিকার জন্য গেছিলাম ফ্রান্সের বিখ্যাত ভালোবাসার সেতুতে তালা ঝুলাইতে ভাগ্যের নির্মম পরিহাস সেখানে তালা ঝুলানোই নিষেধ করে দিছে,vulnerable
যার ভিতরে একবার ডিপ্রেশন প্রবেশ করছে সেই বুঝে রোগের ভয়াবহতা,vulnerable
"আজ দুপুরে মহাখালী তে দেখলাম , ট্রেনের ধাক্কায় একটি মৃত্য লাশ পরে আছে । আইনশৃঙ্খলা বাহিনীর পাশে ডিউটি করছে । কিন্তু , লাশটি সরানোর মতো মানুষ নেই । এখন বুঝতে পারছি সেই ৫টি মিনিট এ অনেক কিছু শিখে পেলছি । ",vulnerable
এইভাবে যোন পথের ফকির হয়ে যায় পরিচালকেরা,vulnerable
বলে লাভ নাই কেউ কছুই পরিবর্তন করবে,vulnerable
রাস্তায় ফেলে গেলেও ছেলেটা বাঁচতে পারত,vulnerable
খুবি দুক্ষিত আমরা মারুফ কাকার একটা ছবি রিলিজ হয়ছে সেটা আমরা জানিই পস্ট দেখে মাত্র জানতে পারলাম,vulnerable
স্বার্থক জন্ম আমরা জন্মেছি দেশে রাস্তায় মানুষ মরে মন্ত্রী সাহেব হাসে হায় আফসোস,vulnerable
এদের এতো টাকা তবু অসুস্থ হলে সরকারের কাছে টাকা চায়।,vulnerable
বিনপির কেউ যেন শুনে। মনে ব্যথা লাগে এসব কথা শুনলে,vulnerable
ঘাতক সেই বাস কোম্পানির মালিক নৌমন্ত্রীর শ্যালক এবার বুঝতে পারলাম মন্ত্রী কেলাচ্ছিল কেন,vulnerable
দেশে দুর্নিতি দেশে সধারন মানুষের জীবন উন্নয়ন করার উপায়,vulnerable
আমরাই একমাত্র দেশ যারা গত বছরে একের পর এক যুদ্ধে পাকিস্তানকে হারানোর পরেও দেশের জমি পাকিস্তান দখল করেছে । পাক অধিকৃত কাশ্মীর কংগ্রেস সরকারের অবদান । ,vulnerable
আমি সময় অনুমান করি আমি অন্যের জন্য অপরিচিত।আমি সময় অনুমান করি আমি যেটা প্রয়োজন তাতে আমি সেটা করতে পারবো,vulnerable
এতো সুন্দর একটা বাবা ভাবে মারতে পারলো আল্লাহ তুমি মাকে ধযদারন করার শক্তি দাও আমিন,vulnerable
"হিন্দুগুলো এতোই জঘন্য যে , এরা গরুর মল মূত্র খেয়ে গর্ববোধ করে ! পবিত্র হয় , মানুষ কতোটা নিকৃষ্ট হলে এমনটি করতে পারে । গাভী দুধ দেয় তাই গরু মায়ের মতো । গরুর গোশত খাওয়া যাবে না , তবে গরুর চামড়ার জুতা স্যান্ডেল পরা যাবে ! উদ্ভট সব যুক্তি নিয়ে যারা পালন করছে একটা ধর্ম । ",vulnerable
"যে দেশে মানুষের মৃত্যুর খবর শুনে মন্ত্রী মহোদয় হাসে , প্রতিদিন মৃত্যু ভয় নিয়ে বাইরে বের হতে হয় যেখানে প্রিয়জনের ঘরে ফেরার নিশ্চয়তা নেই , যেখানে রাস্তায় মা বোনদের নিরাপত্তা নেই , সেই দেশ আমার না । হয়তো দেশটা একদিন আমার ছিল । এখন আর নেই । এই দেশে আমি অসহায় ! সড়কদুর্ঘটনা",vulnerable
"গ্রামে , মেয়েরা অবৈধভাবে জিং জিং করলে , তাদের চুল কেটে দেয়া হতো ; এখন সেটা আবার চালু করার দরকার । জিং জিং প্রেম বেড়ে গেছে ! ",vulnerable
এগুলো বাদ দিয়া চাষাবাদ দাও নিজের উন্নতি হবে সাথে দেশের,vulnerable
শান্ত বুকের তপ্তক্ষুনে শক্তমাটি রক্তলাল মজলুমানের আর্তনাদে আরশে আজিম কম্পমান মানবতা দূর্বিপাকে আবাসভুমি ঘোর শ্মশান,vulnerable
বাংলাদেশে সবকিছুর অভাব হতে পারে যেমন খাদ্য বস্ত্র শিক্ষা চিকিৎসা কিন্তু পাগলের অভাব কোনদিন হবে,vulnerable
৯৫০ টাকার চুলায় রান্না করে ৫৫ টাকার চালের ভাত খেয়ে ইউনিট প্রতি ৮টাকা বিদ্যুৎ বিল দিয়ে উন্নয়নের মহাসড়কে কি হাটতে মন চায় ? ,vulnerable
ডিপ্রেশন থেকে মুক্তর হলো আল্লাহ উপর ভরসা এবং ইমান নেকআমল।,vulnerable
"ছাএদল ও একটা সংগঠন ! তেইল্লাচুরা ও একটা পাখি ; ক্ষমতা হারাইলে যেমন ছাএলীগের চেলা পেলা গুলারে খুজে পাওয়া যাইতো না , ঠিক তেমনি করে ছাএদলকে ও এখন খুজে পাওয়া যাচ্ছে না বলে রাখি ছাএদল ঈদের পর তুখার আন্দোলনে নামবেআর রাজপথ ও দখল করবে তাই এখন রেস্টে আছে",vulnerable
"মন বলে ধৈর্য্য ধর , সব ঠিক হয়ে যাবে । আমার প্রশ্ন কিন্তু কবে ",vulnerable
ভালোবাসার সম্পর্কে বিশ্বাস ভাঙার স্বভাবটা মানুষের জন্মগত । স্বামী ঠকাচ্ছেন স্ত্রীকে ; স্ত্রী ঠকাচ্ছেন স্বামীকে । প্রেমিক ধোঁকা দিচ্ছেন প্রেমিকাকে ; আবার প্রেমিকাও সুযোগ বুঝে প্রেমিকের কাছ থেকে সরে যাচ্ছেন । তাঁদেরই বা এমন কী দোষ ? যুগের বাতাসেই তো বিশ্বাস ভঙ্গের গন্ধ ! ,vulnerable
আমি সময় অনুভব করি আমি অবশ্যই অন্যের হতে হবে।হতাশা দুচিন্তা বেকারত্বের প্রধান কারণ।,vulnerable
সবছে বেশি ভালো লাগে পুলিশের কাছথেকে ছিনিয়ে নিয়ে মেরেছে নিজের বিচার নিজেকে করতে হবে,vulnerable
সঠিক করোনার থেকেই এরকম হয়ে গেছে প্রচন্ড রাগ ওঠে কন্ট্রোল করতে পারি সেন্স থাকে রাগ ওঠলে,vulnerable
"আধুনিক ! নারীরা কেবল বিয়ের দিন নিজের স্বামীর জন্য সাজে ! আর , সারা বছর সাজে পর পুরুষের জন্য ! ",vulnerable
বাস চাপায় ছাত্রদের মর্মান্তিক মৃত্যুতে যে খানে শোক প্রকাশ করার কথা উল্টো আমাদের মন্ত্রী নির্লজ্জের মতো হেসে বলছে জানেন ভারতে প্রতি মিনিটে কতো জন মানুষ মারা যায় ! ,vulnerable
অসাধারণ হয়েছে আমি সাধারণত দুঃখের অভিনয় দেখে কাঁদি না।আজ জুটির অভিনয় দেখে কেঁদে ফেললাম,vulnerable
আমার কাছে শুধু মনে আমার জন্য দুনিয়া আমার শুধু সুইসাইড চিন্তা মাথায় ঘোরে।,vulnerable
"ছেলের বাপ পণ্য চাইলে জাতীয় অপরাধ কিন্তু , মেয়ের বাপ সরকারি চাকরি খুঁজলে সাত খুন মাফ ব্যাপারটা হলো দুটোই আন্তর্জাতিক ভিখারী শুধু ভিক্ষা করারা ধরণ টা আলাদা ",vulnerable
আমি জানি কিভাবে দুঃখ থেকে বের হতে পারবো।,vulnerable
সময় চলে যাচ্ছে এবং আমি এখনো কিছু সঠিক করতে পারছি এটি খুব দুঃখজনক।,vulnerable
জীবনের অনেক সময় হারিয়ে যাওয়া স্বপ্নগুলি আমার দুঃখের জলে ডুবে আসে।,vulnerable
জীবন চলছে সোজা পথে,vulnerable
