Label,Text
depressive,বিশ্রী এ শহরে থাকতে চাইনা আমি । হারিয়ে যেতে চাই তার শহরে । ভয় হয় তার শহরে আবার জলাবদ্ধতা নেই তো ? 
non_depressive,সড়ক দুর্ঘটনা নিয়ে চালকদের যা বললেন রুবেল : 
depressive,চোখের পানি ধরে রাখতে পারলাম
non_depressive,সাথে একটা বিকাশ নাম্বার দিলে সুবিধা হতো পারতো সাহায্য করত
depressive,জীবন নামের শীতল যুদ্ধে কাব্যিক কথা।
non_depressive,চিন্তা করতেছি RTV কেও Walton জভান আপুর মতো বয়কট করতে
depressive,"আকর্ষণীয় শ্লোগান আর ব্যানার নিয়ে ট্রাম্প বিরোধী সমাবেশ হয়েছে লন্ডন , ব্রাসেলস , হেলসিংকিতে । কিন্তু সামাজিক মাধ্যমে আলোচনা ছাড়া , এরকম অনুমতি নিয়ে করা বিক্ষোভ সমাবেশ কি আসলে কিছু অর্জন করতে পারে ? "
non_depressive,মিথিলা আমাই কেউ বলবেন
depressive,আমার জীবনে অনেক সময় সমস্যা হারানোর মুখে মুখে আমি একা আমার বিপদে পড়ে থাকি।
non_depressive,বাংলাদেশের সকল হিন্দুদের ভারতে আশ্রয় দিলে খুশি হতাম
depressive,নিজের একটি চোখ বিক্রি করে আইফোন কিনে সবাইকে দেখিয়ে বেরাচ্ছেন আমাদের নিমা । পরোটা বাবা 
non_depressive,কোটি লাখ নিজের পারিশ্রমিক নিয়েছে লাখ মিলিয়ে খরচ হয়েছে
depressive,ঠিকই বলেছেন অমিত শাহ থেকে আমরা নির্যাতিত হয়ে আসছিনাঅনেক কাল আগে থেকেই আমরা নির্যাতিত আসছি
non_depressive,ছবি এডিট করে কিছু ইউটিউবার ফেসবুকে দিয়ে বলবে বছরের পুরোনো লাশকিছুই নিএখনো তাজা
depressive,নতুন প্রজন্ম যারা ইউরোপযুক্তরাষ্ট্রের পথে দিবে তাদের জন্য এটা শিক্ষামূলক সিনেমা।এটা আমাদের সবার দেখা উচিত।বাংলাদেশের মানুষ সাকিব খানে আটকে আছে।
non_depressive,আলহামদুলিল্লাহ খুশি হলাম ভাই তোরা দেশে শান্তি হবে
depressive,কিসের যেন একটা অভাব দেহের ভিতর বসবাস করছে । মাঝে মাঝে অনেক ভাবি কী হতে পারে এটা । ভেবেও কোন কূলকিনারা পাইনা ! 
non_depressive,অধিকাংশ ড্রাইভার ঘোরের মধ্য থাকে।
depressive,"প্রানের শহরে চলছে প্রানের সংহার এ যেন মৃত্যু পুরী , বেচেঁ থাকার নাই কোনো অধিকার ! কিছুই তো চাইনি , শুধু চেয়েছি নিরাপত্তা , নিরাপদে একটু বেঁচে থাকার অধিকার ! এই ইচ্ছাটুকু বলবো কার কাছে ? দেখার কেউ কি আছে ? নাকি ক্ষমতাধররা সবাই অমানুষ হয়ে গেছে ? "
non_depressive,আলহামদুলিল্লাহ ভালো আছি আল্লাহ সবাইকে হেফাজত করুন
depressive,যার সাথে মনের মিল নেই
non_depressive,এইসব নেতাদের কারণেই দেশের অবস্থা
depressive,এদেশে আমাদের জিবীনের কোম দাম নেই৷ দোয়া করবেন যেনো দূত দেশ থেকে পালাতে পারি
non_depressive,নিজেকে পজেটিভ থাকতে হবে সকলের সাথে বেশি বেশি সময় দিতে হবে পাশাপাশি নতুন পরিবেশ বেড়াতে যেতে হবে তাহলে সমস্যার সমাধান করা সম্ভব।
depressive,এমন কষ্টের নাটক ঈদের সময় দেয় কেমনে মানে খুশি। নাটক দেখে কষ্ট পেলাম।
non_depressive,আবহাওয়া অফিস করবে সবকিছুর মালিক আল্লাহ আসুন সবাই মিলে তওবা করে আল্লাহর কাছে নামাজ পড়ে দোয়া করি আল্লাহ রহমত করবে বিযটি দিবে
depressive,প্রশ্নের উত্তর তাদের কাছেই পাবেন যারা ডিপ্রেশনে আছে
non_depressive,ঠিকা নিয়ে মনে হচ্ছে আগের থেকে অনেক ভালো আছি। কারণ জ্বর খুব হয়না বললেই চলে।
depressive,বয়স হবার পরেও তোর স্বভাব গুলা এখনো মাসের বাচ্চার তুই কোনোদিন বড় হবিনা জ্বালাবি বাণীতে
non_depressive,হজ্ব হোক দুর্নীতি মুক্ত টাকায় ; না হলে এই হজ্বের কোন ফজিলত পাওয়া যাবে না ; এখন অনেক মুখোশধারী দুর্নীতিবাজ হজ্ব করে নিজের নামের সাথে আলহাজ্জ্ব লাগিয়ে আরো বড় মাপের বাটপারি করে ; এরা লেবাসধারী ধার্মিক ! 
depressive,কোতোয়ালী থানা শিবিরের সভাপতি ফাহাদের উপর পুলিশের পায়ে বন্দুক ঠেকিয়ে গুলি করে পঙ্গু করে ফেলার এহেন ন্যাক্কারজনক হামলার নিন্দা জানানোর ভাষা নেই । 
non_depressive,গবেষণা আগে ছিলো কোথায় যখন মানুষ গুলো জোর করে ভ্যাকসিন দেওয়া হইছিলো
depressive,সরকার করের এগুলো মাথায় ডুকতেছে
non_depressive,আলহামদুলিল্লাহ বলার মাধ্যমে রোগ থেকে মুক্তি পাওয়া যায়
depressive,অধিকাংশ সময় আমার জীবনে অনেক বিপদে পড়ে থাকে আমি অধিকাংশ সময় আমার মনের দুঃখে মুখ ফোটা দেখি।
non_depressive,চমকে গেলাম নিউজ দেখে
depressive,বিবর্ণ হয়ে পরে থাকা মৃতদেহ খানিও লাশ নামের
non_depressive,মহান আল্লাহ করে মানুষের কল্যাণে করে তাই একটাই দিয়েছিলাম।
depressive,জীবনের অবাক পরিণতির মধ্যে আমি নিজের পথের অভাবে হারিয়ে গেছি।
non_depressive,আমি নিজেই ভারতের কাছে আশ্রয় চায়
depressive,"মাঝেমাঝে আফসোস করি , যদি আরেকটু কোমল স্বভাবের হতে পারতাম ! তারপর একটু হাসি । তারপর দিনের কাজ শুরু করি বাবু"
non_depressive,তটিনী যেমন সুন্দর তেমন অভীনয় চেহারায় মায়া এতো সুন্দর মানুষ যতো দেখি ততোই ভালো লাগে
depressive,মানব তোমার কাফনের কাপড় বাজারে এসে গেছে তুমি এখনো বেখেয়াল
non_depressive,এইসব মানুষদের বিচারের আওতায় আনা উচিত
depressive,কোতোয়ালী থানা শিবিরের সভাপতি ফাহাদের উপর পুলিশের পায়ে বন্দুক ঠেকিয়ে গুলি করে পঙ্গু করে ফেলার এহেন ন্যাক্কারজনক হামলার নিন্দা জানানোর ভাষা নেই । 
non_depressive,অনলাইনে ছারলেও ভালো টাকা পাওয়া যেত
depressive,আপু আমি সৌদি প্রবাসী আমি রোগের রোগী
non_depressive,বাহ্ সুন্দর পকেট গরম কইরা পাচার বন্ধ করে
depressive,মাস থেকে ডিপ্রেশনে ভুগছিআল্লাহ আপনি আমাদের ডিপ্রেশন থেকে মুক্তি দাও আমিন
non_depressive,ধন্যবাদ চ্যানেল টুয়েন্টিফোর একটি কঠিন বাস্তবতা যুগোপযোগী একটি নিউজ তুলে আনার জন্য
depressive,বাংলাদেশে সবকিছুর অভাব হতে পারে যেমন খাদ্য বস্ত্র শিক্ষা চিকিৎসা কিন্তু পাগলের অভাব কোনদিন হবে
non_depressive,হাজার টাকা বেতন দিলে সবাই বিসিএস দিকে যাবে যেখানে সম্মান টাকা উভয়ই আছে।
depressive,নাটকটা ইয়াশ তটিনীর সবচেয়ে সুন্দর একটা নাটক ছিলো এটার ভালো মুহুর্তগুলো সবাইকে হাঁসিয়েছে কষ্টের মুহুর্তগুলো সবাইকে কাঁদিয়েছে
non_depressive,সিসি ক্যামেরার ফুটেজ দেখে বুঝলাম পাইবেটকারের দোষ
depressive,বেপার সত্যিই অনেক দুঃখ জনক
non_depressive,অসংখ্য ধন্যবাদ জেনে নিলাম
depressive,মাদারে গণতন্ত্র বকে দিয়েছেন যেন ফাঁসির থেকেও নির্মম শাস্তি
non_depressive,চোর ছোট চোরের প্রশংসা করে।
depressive,সিধ কাটিয়া তোমার ঘরে করতে গেলাম চুরি আসতে গিয়া অন্ধকারে আটকে গিয়াছে ভূড়ি
non_depressive,বাংলাদেশ আবার কাকে নিরজাতন করল কারো জানা থাকলে আকটু বলিয়েন আমিও জানতে চাই
depressive,"আমি নির্লজ্জ বেহায়া , গাঞ্জাখোর মানুষ দেখিনি , দেখেছি বলদ নামের হাসান মাহমুদকে । নিকৃষ্ট পথভ্রষ্ট্র লেখিকা তাসলিমা নাসরিন যেমন কখনও সন্তান প্রসব করতে পারবে না , হাসান মাহমুদও কখনো মিথ্যা গাজাঁখোরী ছাড়তে পারবে না "
non_depressive,টিভি ভিউর জন্য এসব পোস্ট করে
depressive,আমি হয়তো তার মধ্যে একজন আমার বুকের ডান পাশ কম্পন পাশ ফিরে শুইলে অনেক অসস্থি লাগে আল্লাহ ভাল জানেন
non_depressive,সাবাই   গ্রাম করে কিনেন
depressive,ভদ্রলোক নিকোটিন ছাড়ার আশায় নিকোটিন গাম খাওয়া শুরু করলেন । কিন্তু এখন তিনি নিকোটিন গামে আসক্ত হয়ে পড়েছেন । নিকোটিন গাম ছাড়ার জন্য কি করতে হবে সে চিন্তায় তিনি আবার সিগারেট ধরলেন । নিকোটিন চক্রের শেষ নেই । হারকিউলিস
non_depressive,দেশবাসী যদি পরিমানে কিনে অথবা কমপক্ষে তিন থেকে পাঁচ দিন যদি পেঁয়াজ কিনে তাহলে বিক্রেতারা বাদ্য হয়ে দাম কমাবে।
depressive,"নীল পদ্ম খুজতে খুজতে আজ নিজেই , শৈবাল হয়ে গেছি অন্যের জন্য সুখ খুজে ফিরি , হঠাৎ দেখি পেছন ফিরে শুধুই মরুভূমি ঐ ত নীল আকাশের তারা জ্বলছি একা আজ তোমায় ছাড়া বাবু"
non_depressive,ব্যাচেলর নাম মধ্য কয় বাচ্চাদের বাপও আছে আবার ছাত্রছাত্রীদের পাশাপাশি মাদক ব্যবসায়ীরাও আছে
depressive,কারো প্রতি সিরিয়াস হওয়া মানে নিজেকে ডাস্টবিনে পরিণত করা যেখানে লেখা থাকে আমাকে ব্যবহার করুন আজব দুনিয়া
non_depressive,অভিযোগ পত্র দাখিল করতে রিটার্নিং কর্মকর্তার অফিসে এডভোকেট জুবায়েরের । 
depressive,চোখের ধরে রাখতে পারলাম
non_depressive,স্বাধীনতা অর্জনের চেয়ে স্বাধীনতা রক্ষা করা কঠিন
depressive,আমি সময় বোধহয় আমি নিজেকে নিজের অংশ হিসেবে ধরে রাখতে পারি না।হতাশা দুচিন্তা বেকারত্বের প্রধান কারণ।
non_depressive,টাকা খরচ করে ডাক্তারি পড়ে লাভ
depressive,জীবনের অনেক সময় অজানা পথে চলার অনুভূতি অনেক বেশি কষ্টদায়ক
non_depressive,আমি শুধু অবাক চোখে চেয়ে থাকি।
depressive,বালিকা তুমি যতটা দুঃখ কষ্ট পেলে কাঁদো আমি তার চেয়েও বেশি দুঃখ কষ্ট বেদনার আঘাত নিয়া হাসি
non_depressive,"একদিকে মন্ত্রী হাসেন , অন্যদিকে নিহত দিয়ার বাবা কাল সকাল থেকেই মেয়ের এক্সিডেন্ট হওয়ার স্থানে বসেই কেঁদেই যাচ্ছেন । রাস্তার মানুষের সান্তনা ও থামাতে পারছে না । আমরা বাঙ্গালীরা বড়ই বিচিত্র । "
depressive,আমি সর্বদা খুব বিরক্ত। কোন কারণে আমি সময় নিরুদ্দিপ্ত মনে হয়।হতাশা দুচিন্তা বেকারত্বের প্রধান কারণ।
non_depressive,নং আসামীকে গনপিটুনি দিয়ে মেরে ফেলছে এইটাই সঠিক বিচার হইছে ধন্যবাদ জনগন
depressive,এটা অত্যন্ত দুঃখজনক এতবার কেন কঠোর ব্যবস্থা নেওয়া হয়
non_depressive,শক্তিপদ সর্দারের খুন নিয়ে নতুন করে কিছু আর বলার নেই আমার সংবিধান অনুযায়ী আইনশৃঙ্খলা রাজ্যের অধীন বলে আমরা দাঁড়িয়ে দাঁড়িয়ে দেখবো এটা হতে পারে না দৃষ্টান্তমূলক কোন পদক্ষেপ না নিতে পারলে নেতা হিসেবে সাধারণ কর্মীদের সঙ্গে চোখ মেলাতেও আমার লজ্জা করবে এটাই অনুভব করছি ছিঃ
depressive,আমি মডানা দুই টিকা নিয়ে দুই বসর অসুস্থ ছিলাম এখনো আমার নানা ধরনের সমস্যা আমি এখন করবো জানা থাকলে বলবেন
non_depressive,পাচার বন্ধ করতে পারচেন নাএটা বললেই
depressive,টিকা নেওয়ার আগে অনেক ভালো ছিলাম এখন ভালো একটা শরিরে শক্তি পাচ্ছিনা।
non_depressive,কোন রাকিব হাসান ওইযে টয়লেটে ভিতরে ভিডিও বানায় অইটা
depressive,ডিপ্রেশন মানুষকে মৃত্যুর মুখোমুখি দাড় করিয়ে দেয় নিজের মুখের হাসি জিনিস সেটা ভুলে গেছি অনেক আগেই এখন শুধু অপেক্ষা ওপারের ডাক আসার
non_depressive,ধন্যবাদ সময় টিভির সবাইকে
depressive,শিক্ষা শেষ।এ শিক্ষা দিয়ে খুব বেশি হলে সৌদি আরবে গিয়ে লেবার হওয়া যাবে।ধন্যবাদ তথা কথিত শিক্ষা পন্ডিত গরু মশাই।
non_depressive,"ভালো মানুষ না সেজে , ভালো মানুষ হওয়ার চেষ্টা করা উত্তম ! অন্তত আত্মতৃপ্তি পাওয়া যাবে মাননীয় স্পিকার "
depressive,সবাই ডিশের লাইন কেটে দিয়ে বিটিভি দেখুন । এ বছর বাতাবিলেবুর ফলন অনেক ভাল হয়েছে । আয়নাবাজি
non_depressive,"সিলেটে কোতোয়ালী পূর্ব থানা ছাত্রশিবিরের সভাপতি ফাহাদ আহমদ ভাইকে কেন্দ্রের ভিতর ধরে নিয়ে পায়ে বন্দুক ঠেকিয়ে গুলি করেছে আওয়ামী পুলিশ ! ইন্নালিল্লাহ । আল্লাহ ভাইটিকে তুমি হেফাজত করো , আমীন । "
depressive,এটা সত্য আসলে আমরা খেয়ে যদি বাসতে পারি তাহলে উন্নয়ন দিয়ে করব
non_depressive,কোন পেশাকে ছোট করে দেখবেন অনেক বেকারত্ব কমে যাবে।
depressive,আমি আমার নিজের মাঝে আত্মহত্যা করতে চাই কিন্তু আমি অসমর্থ।
non_depressive,আলহামদুলিল্লাহ। ভালোই আছি টিকা নিয়ে
depressive,প্রতিবেদন দেখেই ডিপ্রেশনে চলে গেলাম
non_depressive,এটা নিউজ চ্যানেল মিউজিক ভিডিওর
depressive,আমি কোনো কিছুতেই আনন্দ পাই
non_depressive,বাংলাদেশের সংখ্যা লঘুরা কখনই নির্যাতিত হয়না
depressive,আমি ডিপ্রেশন কোম্পানির প্রধানমন্ত্রী পারতেছিনা কষ্ট কবে জানি হঠাৎ সবার চোখ ফাঁকি দিয়ে সুইসাইড করে দুনিয়াকে বিদায় দেই
non_depressive,নামাজ পরলে ঠিক হয়ে। যায়। ডিপেশন কিছু অাল্লাহ শান্তি দেয়️
depressive,কক্সবাজার পৌরসভা নং ওয়ার্ডে ভোটার হাজার নৌকা একা পেয়েছে হাজার
non_depressive,তটিনী ইয়াশ সেরা সেরা জুটি। জাস্ট অসাধারণ লাগলো। হৃদয়ে ভরে গেলো।
depressive,"যে দেশে মানুষের মৃত্যুর খবর শুনে মন্ত্রী মহোদয় হাসে , প্রতিদিন মৃত্যু ভয় নিয়ে বাইরে বের হতে হয় যেখানে প্রিয়জনের ঘরে ফেরার নিশ্চয়তা নেই , যেখানে রাস্তায় মা বোনদের নিরাপত্তা নেই , সেই দেশ আমার না । হয়তো দেশটা একদিন আমার ছিল । এখন আর নেই । এই দেশে আমি অসহায় ! সড়কদুর্ঘটনা"
non_depressive,এপ্রিল  কমেন্ট করে গেলাম লাইক দিলে বুঝবো এখনো কেউ নাটকেটি কেউ দেখছে মাদারীপুর থেকে
depressive,আমি সবসময় ক্ষতিগ্রস্ত মনে হচ্ছে। আমার কাছে দুঃখের ব্যবস্থা করার জন্য কোনো নেই।অনেক দিন ধরে আমি অশান্তির মধ্যে ভুগছি।
non_depressive,নতুন নাটক নাকি কবে আপলোড হবে
depressive,আমি সর্বদা খুব বিরক্ত। কোন কারণে আমি সময় নিরুদ্দিপ্ত মনে হয়।হতাশা দুচিন্তা বেকারত্বের প্রধান কারণ।
non_depressive,নাটক অনেক সুন্দর হইছে
depressive,রাজশাহীতে ভোটকেন্দ্রে আ লীগ সমর্থককে ছুরিকাঘাত : 
non_depressive,জন্য সরাসরি দায়ী প্রশাসন
depressive,"এক লোককে বিকালে দেখছি ভালো । পরেরদিন সকালে দেখি তার চোখ , নাক এমন ফুলছে আমি তো মনে করছিলাম তার মুখটা ফুটবল । জিঙ্গাসা করলাম ভাই কি হইছে ? তার উত্তর চুদির পু গতকাল জঙ্গলে লাড়া দিছস আর বল্লা মৌমাছি আমারে জম্মের মতো কামড়াইছে । লে হালুয়া"
non_depressive,আলহামদুলিল্লাহ টিকা দেওয়া ছাড়াই সুস্থ আছি আলহামদুলিল্লাহ
depressive,জীবনের পথে অসহায় ভ্রমণ এখনো থামে নি।আর কষ্ট দিবিরে তোরা বাঙালি
non_depressive,আচ্ছা আপনাদের কাছে কোন নিউজ নেই
depressive,তাদের বুঝা উচিৎ দেশের মানুষ এখন হলে গিয়ে সিনেমা দেখতে ইচ্ছুক নাতাদের এখন পেশা পরিবর্তন করা উচিৎ।
non_depressive,আপনারা নিউজের জন্য কোনো টপিক পান নাকি
depressive,জীবন অত্যন্ত নিস্তার এবং অসুখের একটি ব্যাপার। আমি কেউ হতে চাইতেও বাধ্য হইতেছি মনে হচ্ছে।
non_depressive,অনেক দিন আগের কথা। একবার নানীর বাড়ি গেছিলাম। নানী কইছিলো দেখবি কিছু লোক হুদাই তোর কমেন্ট পড়বে সময় নষ্ট করবে
depressive,ভুড়ি ভোজ করতেছে আর বাম হাত দিয়ে পানি খাইতেছে এই ভন্ডকে চিনতে পারছেন এই শয়তান ইসলামী ফাউন্ডেশনের চেয়ারম্যান শামীম আফজাল মূর্খ ভন্ড এই শয়তান পাবলিক টয়লেট পরিচালক হওয়ার যোগ্য নয় অথচ তাকে ইসলামী ফাউন্ডেশনের মহাপরিচালক বানানো হলো 
non_depressive,দুজনের মনে হাজারো জমানো ভালোবাসার কথা কেউ কাউকে খুলে বলতে পারেনিঅসাধারণ একটা নাটক ছিলোভালোবাসা সত্যি অসম্ভব সুন্দর
depressive,তবে এটা সত্য অসুস্থ মানুষ হসপিটালে গেলে আরো অসুস্থ হয়ে পড়ে।
non_depressive,দেশে খবর অভাব পরছে নাকি
depressive,কোন মুসলিম কখনো কাউকে আগে মারধর করে না
non_depressive,বাংলা দেশের অনেক জায়গা আছে এখনো রিকশা চলতে পারে জমন ময়মনসিংহ ফুলপুর উপজেলা শেরপুর নকলানালিতাবাড়ী আরো অনেক জায়গা আছে
depressive,"চোখ দিয়ে ধর্ষন করাকে , এখনকার আপডেটেড ছেলে মেয়েরা নাম দিয়েছে ক্রাশ । "
non_depressive,রাজীব মিমের পরিবারকে ৫ লাখ করে টাকা দিতে নির্দেশ : 
depressive,চোখ দিয়ে ধর্ষন করাকে এখনকার আপডেটেড ছেলে মেয়েরা নাম দিয়েছে ক্রাশ
non_depressive,সাংবাদিক চাকরি দিছে কথা বলে কমতোতলামি করে বেশি। কথার মাঝে কেন করে
depressive,মনের অদৃশ্য ব্যাঘাত আমার চেষ্টা করে আমাকে হতাশা করে দেয়।
non_depressive,বাংলাদেশের আইন নিয়ম কানুন আলেমদের উপর বঙ্গবন্ধুর পাতি নেতাদের কিছু মাফ
depressive,হলে বাঙালী বিদ্বেষী হতে হবে বেছে বেছে মণিপুর আসামে বাঙালী দের তাড়ানো হচ্ছে তাতে আপনার কোন প্রতিক্রিয়া নেই
non_depressive,ওয়াডের সভাপতি এমন।যদি জেলার সভাপতি হলে আনতো বলেন
depressive,অনেক কষ্ট পেলাম কাঁদলাম যাইহোক খুব ভালো লাগলো
non_depressive,আলহামদুলিল্লাহ হত্যার বদলে হত্যা এটিই সঠিক বাকিটা হলেও হয়
depressive,"অষ্টম শ্রেণীর ছাত্রীর বিয়ে আটকাতে রুখে দাঁড়াল তার বান্ধবীরা । শাব্বাসএটা বাল্যবিবাহ ছিলো কিন্তু পরের দিনই মেয়েটি অন্য ছেলের সাথে পালিয়ে গেল সমস্যা নাই , এটা আধুনিকতা বলে চালিয়ে দেয়া যায়"
non_depressive,রেস্টুরেন্ট মালিকের কোনো দোষ নাই
depressive,মনের অদৃশ্য ব্যাঘাত আমার চেষ্টা করে আমাকে হতাশা করে দেয়।আমার জীবনে অন্ধকার বিরক্তি অস্বস্তি
non_depressive,লজ্জাবতী গাছ । আর লজ্জাবতী নারী দুটাই আজ বিলুপ্ত । 
depressive,চলে যাওয়া বিষয়।। অন্য কারও হাত ধরে চলে যাওয়া ভিন্ন বিষয়। তাও কেন জানি মনে হয়।।তুমি এতটাও খুশি নওতাও কেন চলে গেলা
non_depressive,টিভির চ্যানেল গুলা নিউজ পায়
depressive,আমার মনে হয় আমি শেষ পর্যন্ত একা অনুভব করবো।অনেক দিন ধরে আমি অশান্তির মধ্যে ভুগছি।
non_depressive,টিভি সাংবাদিক ভাইয়েরা আপনারা মানুষ পাইলেন এদের চেয়ে হিরো আলমের টপিক ভালো
depressive,তাদের পয়সা আছে কিন্তু পারিবারিক শিক্ষা নাই
non_depressive,মেয়েদের কাছে স্বামী নেয়ামত। আল্লাহ সবাইকে হেদায়াত দান করুন। বিয়ে পবিত্র বন্ধন। স্বামী স্ত্রী দুজনকেই সামলে চলতে হবে।
depressive,মাঝে মাঝে ইচ্ছে করে ছেড়ে দূরে কোথাও চলে যাই কিন্তু গাড়ি ভাড়া নেই বলে যেথে পারিনাএত সার্টিফিকেট দিয়ে আমি করবো মনে চায় মরে যাই
non_depressive,এজন্যই টিকা থেকে দূরে ছিলাম
depressive,সময় চলে গেছে এবং চলছে চলতি জীবনের গল্প বলছে পাল্টে গেলি তুই আমিও পাল্টে গিয়েছি মাঝ পথে হাতে হাতে বন্ধু কি খবর বল কত দিন দেখ হয়নি 
non_depressive,এখানে ট্রাক ড্রাইভারের দোষ বুঝলাম না। বাইকার নিজেই নিয়ন্ত্রণ হারিয়ে ট্রাকের নিচে পড়েছে।
depressive,দ্রুত সবাইকে ফাঁসি দেওয়া হোক
non_depressive,আলহামদুলিল্লাহ শেখ হাসিনার সরকার বার বার দরকার
depressive,মানুষের প্রতি মানুষেত দরদ দিন দিন কমলেও কুত্তা বিলাই প্রতি মানুষের দরদ দিন দিন বাড়তেছে সার্টিফিকেট দিয়ে আমি করবো মনে চায় মরে যাই
non_depressive,দুনিয়ার সকল শিক্ষা নিয়ে মানুষ যদি মানুষ হতো হয়তো আল্লাহু আমাদের দিন শিক্ষা করার জন্য বলোতো
depressive,তাইলে উনি এবার উনার অভিনীত ইতিহাস মুভির সেই বিখ্যাত গানের লাইন আমি জীবন্ত একটা লাশ এটাই নতুন ইতিহাস গাইবে
non_depressive,পারিবারিক এবং সামাজিক চাহিদার মায়রে বাপ
depressive,যখন আমি সময়ের সাথে স্বপ্ন হারাতে চাই তখন আমি সমস্যা হারিয়ে যায়
non_depressive,এটা নিয়েও নিউজ করতে হবে।
depressive,লেখাটি পড়ে মনে হচ্ছে জীবনের অত্যন্ত বিচিত্র খেলার কারণে মনে হচ্ছে দুঃখ আসতেই হবে। কান্না সারা দেশের
non_depressive,"যারা মিথ্যা ও ছল চাতুরীর অভ্যেসের চর্চা করে , তাদের থেকে দূরে থাকতে পছন্দ করি । "
depressive,শহর ছাইড়া দিয়া গ্রামে গিয়ে চাষ করেন তাহলে দাম কমে যাবে
non_depressive,"জার সাথে মায়ের দোয়া থাকে তাকে কেউ হারাতে পারে না সেই জত বড় শক্তিশালী হোক না কেন ! মায়ের ভালো বাসায় জিতিয়ে দিয়েছে আরিফুল হক চোধুরীকে অভিনন্দন তোমাকে , আসল পিরের দোয়া দেখুন সিলেট বাসি এখন বুজবেন আসল নকল পির এখনো সময় আছে সঠিক পিরকে চিনে মূল্যায়ন করুন "
depressive,ভারতের আসাম থেকে লাখ অবৈধ বিদেশি এখন কোথায় যাবে কান্না সারা দেশের অস্বস্তি
non_depressive,মোটর সাইকেল জন্য এক্সিডেন্ট হইছে
depressive,আমি সময় অনুমান করি আমি অত্যন্ত অল্পমাত্রে জানি এবং আমি কোন কারণে কাউকে আমার কাছে বুঝতে পারছি না।হতাশা দুচিন্তা বেকারত্বের প্রধান কারণ।
non_depressive,ভাই কিছুই বলেন তেলের দাম কমলে ধান চাষ পাঁচ একোর করতাম এখন একোর করবো
depressive,নিজেকে ভালবাসুন নিজেকে সময় দিন।মাথায় রাখুনসবার আগে নিজেকেই নিজের প্রথম প্রয়োজন। দিনশেষে আপনি আপনারতাই নিজেকে নিয়ে সবচেয়ে বেশি ভাবুন।
non_depressive,"হ্যালো ফ্রেন্ডস আমি দিশা , সবার নাকাব মুভি টা কেমন লেগেছে ? : : "
depressive,আমার চেয়ে বেশি ভালোবাসা হারিয়ে যাওয়া কোনোটাই একে অন্যের ভালোবাসার অনুভূতি দেয় না।
non_depressive,সুন্দর একটা তারিখে কমেন্ট রেখে গেলাম। রোহান তটিনী দুইজনই আমার প্রিয় অভিনেতা অভিনেত্রী। শুভকামনা দুইজনের জন্য।
depressive,মাঝে মাঝে দেখা পাই চিরদিন কেন পাইনা যেন একটা অপূর্ণতা রয়ে গেলে।
